feedback_id,customer_id,product_id,rating,feedback_text,feedback_date,sentiment_id,sentiment,confidence,model_name,sentiment_label,feedback_bucket
29,29,29,4,Delivery was late,2026-05-09 07:35:08.365535,29,neutral,0.84,distilbert,neutral,positive
30,30,30,5,Very satisfied with the experience,2026-07-31 07:35:08.365573,30,neutral,0.64,roberta-base,neutral,positive
31,31,31,5,"Average product, could be better",2026-05-07 07:35:08.365611,31,positive,0.9,bert-base,positive,positive
32,32,32,5,Very satisfied with the experience,2026-06-12 07:35:08.365652,32,negative,0.84,roberta-base,negative,positive
33,33,33,5,Fantastic support and fast shipping,2026-04-04 07:35:08.365692,33,positive,0.77,bert-base,positive,positive
34,34,34,4,"Average product, could be better",2026-06-21 07:35:08.365730,34,negative,0.92,roberta-base,negative,positive
35,35,35,2,Delivery was late,2026-05-23 07:35:08.365767,35,neutral,0.66,distilbert,neutral,negative
36,36,36,4,"Average product, could be better",2026-04-16 07:35:08.365804,36,positive,0.6,roberta-base,positive,positive
37,37,37,5,"Average product, could be better",2026-02-27 07:35:08.365843,37,positive,0.74,roberta-base,positive,positive
38,38,38,4,Great product and excellent quality,2026-03-02 07:35:08.365882,38,negative,0.82,bert-base,negative,positive
39,39,39,3,Very satisfied with the experience,2026-04-15 07:35:08.365922,39,neutral,0.91,roberta-base,neutral,neutral
40,40,40,2,Good value for money,2026-07-26 07:35:08.365959,40,negative,0.57,bert-base,negative,negative
41,41,41,1,Fantastic support and fast shipping,2026-06-20 07:35:08.365996,41,neutral,0.55,bert-base,neutral,negative
42,42,42,2,Fantastic support and fast shipping,2026-07-05 07:35:08.366037,42,negative,0.88,distilbert,negative,negative
43,43,43,4,Very satisfied with the experience,2026-07-04 07:35:08.366075,43,neutral,0.97,distilbert,neutral,positive
44,44,44,5,Fantastic support and fast shipping,2026-05-24 07:35:08.366112,44,neutral,0.92,bert-base,neutral,positive
45,45,45,3,Good value for money,2026-05-26 07:35:08.366151,45,neutral,0.64,distilbert,neutral,neutral
46,46,46,4,Good value for money,2026-02-16 07:35:08.366188,46,negative,0.74,bert-base,negative,positive
47,47,47,3,"Average product, could be better",2026-04-14 07:35:08.366224,47,negative,0.77,roberta-base,negative,neutral
48,48,48,2,Good value for money,2026-06-06 07:35:08.366260,48,negative,0.74,distilbert,negative,negative
49,49,49,1,Delivery was late,2026-07-18 07:35:08.366298,49,negative,0.64,bert-base,negative,negative
50,50,50,1,Very satisfied with the experience,2026-07-15 07:35:08.366334,50,neutral,0.74,distilbert,neutral,negative
51,51,51,5,"Average product, could be better",2026-02-23 07:35:08.366447,51,positive,0.88,roberta-base,positive,positive
52,52,52,2,Great product and excellent quality,2026-02-21 07:35:08.366483,52,positive,0.63,bert-base,positive,negative
53,53,53,1,Delivery was late,2026-06-02 07:35:08.366519,53,neutral,0.85,distilbert,neutral,negative
54,54,54,5,Great product and excellent quality,2026-06-04 07:35:08.366557,54,negative,0.57,roberta-base,negative,positive
55,55,55,3,Very satisfied with the experience,2026-02-02 07:35:08.366596,55,neutral,0.96,distilbert,neutral,neutral
56,56,56,5,Good value for money,2026-03-03 07:35:08.366632,56,positive,0.99,distilbert,positive,positive
57,57,57,4,"Average product, could be better",2026-02-19 07:35:08.366670,57,neutral,0.97,roberta-base,neutral,positive
58,58,58,4,Fantastic support and fast shipping,2026-03-13 07:35:08.366707,58,positive,0.72,roberta-base,positive,positive
59,59,59,1,Very satisfied with the experience,2026-06-13 07:35:08.366744,59,negative,0.68,roberta-base,negative,negative
60,60,60,5,Great product and excellent quality,2026-05-31 07:35:08.366782,60,negative,0.58,distilbert,negative,positive
61,61,61,3,Fantastic support and fast shipping,2026-03-23 07:35:08.366821,61,negative,0.63,roberta-base,negative,neutral
62,62,62,4,Delivery was late,2026-05-05 07:35:08.366857,62,negative,0.63,bert-base,negative,positive
63,63,63,5,Delivery was late,2026-03-14 07:35:08.366893,63,neutral,0.72,roberta-base,neutral,positive
64,64,64,2,Fantastic support and fast shipping,2026-03-27 07:35:08.366930,64,positive,0.56,distilbert,positive,negative
65,65,65,3,Very satisfied with the experience,2026-05-06 07:35:08.366968,65,negative,0.84,distilbert,negative,neutral
66,66,66,1,"Average product, could be better",2026-06-01 07:35:08.367006,66,negative,0.84,roberta-base,negative,negative
67,67,67,1,Delivery was late,2026-05-17 07:35:08.367042,67,neutral,0.68,bert-base,neutral,negative
68,68,68,2,Fantastic support and fast shipping,2026-03-26 07:35:08.367078,68,negative,0.57,roberta-base,negative,negative
69,69,69,3,Very satisfied with the experience,2026-03-03 07:35:08.367118,69,neutral,0.81,roberta-base,neutral,neutral
70,70,70,5,Delivery was late,2026-05-17 07:35:08.367153,70,negative,0.64,distilbert,negative,positive
71,71,71,3,"Average product, could be better",2026-06-05 07:35:08.367189,71,negative,0.59,roberta-base,negative,neutral
72,72,72,1,Good value for money,2026-05-17 07:35:08.367225,72,neutral,0.87,bert-base,neutral,negative
73,73,73,3,Delivery was late,2026-07-02 07:35:08.367264,73,neutral,0.97,bert-base,neutral,neutral
74,74,74,3,Fantastic support and fast shipping,2026-03-04 07:35:08.367300,74,neutral,0.9,roberta-base,neutral,neutral
75,75,75,3,Very satisfied with the experience,2026-02-15 07:35:08.367336,75,neutral,0.56,bert-base,neutral,neutral
76,76,76,5,Fantastic support and fast shipping,2026-04-15 07:35:08.367375,76,negative,0.86,bert-base,negative,positive
77,77,77,3,Good value for money,2026-07-06 07:35:08.367416,77,negative,0.68,distilbert,negative,neutral
78,78,78,5,Fantastic support and fast shipping,2026-07-26 07:35:08.367453,78,positive,0.89,bert-base,positive,positive
79,79,79,3,Great product and excellent quality,2026-06-24 07:35:08.367489,79,positive,0.76,bert-base,positive,neutral
80,80,80,4,Good value for money,2026-03-19 07:35:08.367525,80,positive,0.87,roberta-base,positive,positive
81,81,81,1,Very satisfied with the experience,2026-07-16 07:35:08.367563,81,neutral,0.92,roberta-base,neutral,negative
82,82,82,3,Good value for money,2026-02-22 07:35:08.367601,82,negative,0.79,distilbert,negative,neutral
83,83,83,5,Fantastic support and fast shipping,2026-06-06 07:35:08.367637,83,neutral,0.72,bert-base,neutral,positive
84,84,84,4,Good value for money,2026-07-14 07:35:08.367674,84,positive,0.91,bert-base,positive,positive
85,85,85,1,Fantastic support and fast shipping,2026-04-17 07:35:08.367713,85,neutral,0.93,roberta-base,neutral,negative
86,86,86,3,Great product and excellent quality,2026-03-11 07:35:08.367750,86,neutral,0.56,roberta-base,neutral,neutral
87,87,87,3,Good value for money,2026-02-02 07:35:08.367789,87,neutral,0.95,roberta-base,neutral,neutral
88,88,88,5,Fantastic support and fast shipping,2026-06-06 07:35:08.367825,88,neutral,0.71,roberta-base,neutral,positive
89,89,89,1,Fantastic support and fast shipping,2026-05-23 07:35:08.367863,89,neutral,0.82,roberta-base,neutral,negative
90,90,90,3,"Average product, could be better",2026-07-20 07:35:08.367899,90,positive,0.69,distilbert,positive,neutral
91,91,91,4,Great product and excellent quality,2026-04-12 07:35:08.367935,91,positive,0.56,distilbert,positive,positive
92,92,92,1,Very satisfied with the experience,2026-05-12 07:35:08.367970,92,negative,0.71,roberta-base,negative,negative
93,93,93,1,Very satisfied with the experience,2026-05-30 07:35:08.368010,93,neutral,0.79,distilbert,neutral,negative
94,94,94,5,Great product and excellent quality,2026-03-23 07:35:08.368046,94,positive,0.94,roberta-base,positive,positive
95,95,95,4,Fantastic support and fast shipping,2026-04-04 07:35:08.368083,95,negative,0.87,roberta-base,negative,positive
96,96,96,5,Delivery was late,2026-07-13 07:35:08.368119,96,neutral,0.73,bert-base,neutral,positive
97,97,97,1,"Average product, could be better",2026-04-07 07:35:08.368157,97,negative,0.82,roberta-base,negative,negative
98,98,98,1,Good value for money,2026-05-29 07:35:08.371019,98,negative,0.71,roberta-base,negative,negative
99,99,99,3,Fantastic support and fast shipping,2026-07-15 07:35:08.371064,99,neutral,0.55,distilbert,neutral,neutral
100,100,100,4,Delivery was late,2026-06-28 07:35:08.371109,100,negative,0.85,bert-base,negative,positive
101,101,101,4,Fantastic support and fast shipping,2026-03-23 07:35:08.371147,101,neutral,0.51,roberta-base,neutral,positive
102,102,102,5,Great product and excellent quality,2026-03-15 07:35:08.371183,102,negative,0.93,bert-base,negative,positive
103,103,103,1,Very satisfied with the experience,2026-04-17 07:35:08.371222,103,neutral,0.83,bert-base,neutral,negative
104,104,104,5,Delivery was late,2026-04-10 07:35:08.371259,104,neutral,0.88,roberta-base,neutral,positive
105,105,105,1,"Average product, could be better",2026-03-21 07:35:08.371296,105,positive,0.64,bert-base,positive,negative
106,106,106,1,Very satisfied with the experience,2026-04-21 07:35:08.371336,106,negative,0.68,roberta-base,negative,negative
107,107,107,3,Great product and excellent quality,2026-04-02 07:35:08.371372,107,negative,0.91,distilbert,negative,neutral
108,108,108,5,"Average product, could be better",2026-04-14 07:35:08.371409,108,positive,0.88,bert-base,positive,positive
109,109,109,5,Fantastic support and fast shipping,2026-03-06 07:35:08.371450,109,positive,0.85,roberta-base,positive,positive
110,110,110,5,Great product and excellent quality,2026-03-14 07:35:08.371489,110,negative,0.89,distilbert,negative,positive
111,111,111,2,Delivery was late,2026-02-13 07:35:08.371528,111,negative,0.55,distilbert,negative,negative
112,112,112,2,Very satisfied with the experience,2026-06-27 07:35:08.371564,112,positive,0.85,roberta-base,positive,negative
113,113,113,4,"Average product, could be better",2026-05-28 07:35:08.371600,113,positive,0.87,bert-base,positive,positive
114,114,114,4,Very satisfied with the experience,2026-05-06 07:35:08.371637,114,positive,0.74,roberta-base,positive,positive
115,115,115,1,Delivery was late,2026-07-11 07:35:08.371675,115,neutral,0.82,roberta-base,neutral,negative
116,116,116,1,Delivery was late,2026-07-12 07:35:08.371713,116,negative,0.81,roberta-base,negative,negative
117,117,117,5,Very satisfied with the experience,2026-07-23 07:35:08.371751,117,negative,0.58,roberta-base,negative,positive
118,118,118,1,Great product and excellent quality,2026-06-14 07:35:08.371790,118,neutral,0.75,distilbert,neutral,negative
119,119,119,2,Great product and excellent quality,2026-07-13 07:35:08.371825,119,neutral,0.58,distilbert,neutral,negative
120,120,120,3,Delivery was late,2026-06-21 07:35:08.371861,120,negative,0.85,distilbert,negative,neutral
121,121,121,5,"Average product, could be better",2026-04-28 07:35:08.371900,121,neutral,0.89,distilbert,neutral,positive
122,122,122,5,Very satisfied with the experience,2026-07-13 07:35:08.371937,122,positive,0.98,distilbert,positive,positive
123,123,123,4,Good value for money,2026-03-25 07:35:08.371975,123,positive,0.91,distilbert,positive,positive
124,124,124,5,Good value for money,2026-05-22 07:35:08.372013,124,positive,0.81,distilbert,positive,positive
125,125,125,1,Great product and excellent quality,2026-07-11 07:35:08.372049,125,positive,0.96,distilbert,positive,negative
126,126,126,4,Delivery was late,2026-05-30 07:35:08.372085,126,negative,0.7,roberta-base,negative,positive
127,127,127,3,Fantastic support and fast shipping,2026-05-04 07:35:08.372121,127,neutral,0.56,roberta-base,neutral,neutral
128,128,128,5,Very satisfied with the experience,2026-04-15 07:35:08.372157,128,positive,0.97,bert-base,positive,positive
129,129,129,1,Very satisfied with the experience,2026-07-08 07:35:08.372195,129,neutral,0.75,bert-base,neutral,negative
130,130,130,1,"Average product, could be better",2026-07-04 07:35:08.372234,130,neutral,0.57,roberta-base,neutral,negative
131,131,131,4,Great product and excellent quality,2026-03-24 07:35:08.372271,131,neutral,0.87,roberta-base,neutral,positive
132,132,132,4,"Average product, could be better",2026-03-25 07:35:08.372306,132,positive,0.52,bert-base,positive,positive
133,133,133,3,"Average product, could be better",2026-03-02 07:35:08.372345,133,neutral,0.75,distilbert,neutral,neutral
134,134,134,1,Delivery was late,2026-03-01 07:35:08.372384,134,neutral,0.63,distilbert,neutral,negative
135,135,135,1,Fantastic support and fast shipping,2026-06-13 07:35:08.372421,135,positive,0.72,roberta-base,positive,negative
136,136,136,5,Good value for money,2026-05-09 07:35:08.372457,136,negative,0.73,roberta-base,negative,positive
137,137,137,2,Very satisfied with the experience,2026-05-29 07:35:08.372493,137,neutral,0.77,bert-base,neutral,negative
138,138,138,5,Great product and excellent quality,2026-02-08 07:35:08.372529,138,negative,0.69,roberta-base,negative,positive
139,139,139,2,Very satisfied with the experience,2026-06-10 07:35:08.372565,139,negative,0.63,distilbert,negative,negative
140,140,140,1,Good value for money,2026-07-06 07:35:08.372601,140,neutral,0.66,roberta-base,neutral,negative
141,141,141,3,Delivery was late,2026-02-16 07:35:08.372637,141,positive,0.94,bert-base,positive,neutral
142,142,142,4,Very satisfied with the experience,2026-06-14 07:35:08.372676,142,negative,0.97,roberta-base,negative,positive
143,143,143,5,"Average product, could be better",2026-03-27 07:35:08.372711,143,positive,0.92,roberta-base,positive,positive
144,144,144,3,Delivery was late,2026-03-08 07:35:08.372749,144,negative,0.87,bert-base,negative,neutral
145,145,145,1,Good value for money,2026-05-26 07:35:08.372790,145,neutral,0.62,roberta-base,neutral,negative
146,146,146,1,Fantastic support and fast shipping,2026-04-03 07:35:08.372899,146,neutral,0.58,distilbert,neutral,negative
147,147,147,4,Good value for money,2026-02-26 07:35:08.372935,147,neutral,0.7,distilbert,neutral,positive
148,148,148,3,"Average product, could be better",2026-07-12 07:35:08.372972,148,negative,0.55,distilbert,negative,neutral
149,149,149,4,"Average product, could be better",2026-07-08 07:35:08.373013,149,negative,0.72,bert-base,negative,positive
150,150,150,1,Delivery was late,2026-06-06 07:35:08.373050,150,negative,0.54,roberta-base,negative,negative
151,151,151,2,Good value for money,2026-02-17 07:35:08.373086,151,negative,0.82,roberta-base,negative,negative
152,152,152,3,Fantastic support and fast shipping,2026-07-01 07:35:08.373122,152,positive,0.99,roberta-base,positive,neutral
153,153,153,2,Very satisfied with the experience,2026-05-29 07:35:08.373158,153,neutral,0.67,roberta-base,neutral,negative
154,154,154,5,Great product and excellent quality,2026-07-23 07:35:08.373196,154,neutral,0.79,distilbert,neutral,positive
155,155,155,2,Delivery was late,2026-03-06 07:35:08.373234,155,neutral,0.78,distilbert,neutral,negative
156,156,156,2,Fantastic support and fast shipping,2026-02-21 07:35:08.373270,156,negative,0.71,roberta-base,negative,negative
157,157,157,5,Good value for money,2026-04-01 07:35:08.373310,157,positive,0.92,roberta-base,positive,positive
158,158,158,3,Good value for money,2026-02-16 07:35:08.373345,158,positive,0.95,roberta-base,positive,neutral
159,159,159,2,Great product and excellent quality,2026-03-03 07:35:08.373381,159,negative,0.83,bert-base,negative,negative
160,160,160,5,Fantastic support and fast shipping,2026-06-09 07:35:08.373417,160,neutral,0.95,distilbert,neutral,positive
161,161,161,4,Great product and excellent quality,2026-05-11 07:35:08.373453,161,positive,0.68,roberta-base,positive,positive
162,162,162,2,Good value for money,2026-05-08 07:35:08.373489,162,positive,0.69,bert-base,positive,negative
163,163,163,3,Good value for money,2026-06-18 07:35:08.373525,163,positive,0.85,roberta-base,positive,neutral
164,164,164,2,Very satisfied with the experience,2026-02-20 07:35:08.373560,164,positive,0.53,bert-base,positive,negative
165,165,165,1,Very satisfied with the experience,2026-07-30 07:35:08.373597,165,negative,0.77,bert-base,negative,negative
166,166,166,1,Great product and excellent quality,2026-03-19 07:35:08.373637,166,positive,0.62,distilbert,positive,negative
167,167,167,2,Fantastic support and fast shipping,2026-05-16 07:35:08.373673,167,negative,0.91,bert-base,negative,negative
168,168,168,4,Very satisfied with the experience,2026-02-16 07:35:08.373714,168,neutral,0.78,bert-base,neutral,positive
169,169,169,1,"Average product, could be better",2026-06-16 07:35:08.373777,169,neutral,0.51,bert-base,neutral,negative
170,170,170,2,Very satisfied with the experience,2026-02-05 07:35:08.373815,170,negative,0.54,distilbert,negative,negative
171,171,171,3,Great product and excellent quality,2026-04-07 07:35:08.373851,171,neutral,0.61,distilbert,neutral,neutral
172,172,172,1,Great product and excellent quality,2026-05-24 07:35:08.373888,172,positive,0.69,distilbert,positive,negative
173,173,173,2,Great product and excellent quality,2026-07-09 07:35:08.373925,173,positive,0.71,distilbert,positive,negative
174,174,174,4,Very satisfied with the experience,2026-07-10 07:35:08.373961,174,negative,0.94,bert-base,negative,positive
175,175,175,4,Delivery was late,2026-05-16 07:35:08.373995,175,neutral,0.88,roberta-base,neutral,positive
176,176,176,5,Delivery was late,2026-04-25 07:35:08.374030,176,neutral,0.72,roberta-base,neutral,positive
177,177,177,4,Fantastic support and fast shipping,2026-03-06 07:35:08.374065,177,positive,0.66,roberta-base,positive,positive
178,178,178,4,Fantastic support and fast shipping,2026-06-08 07:35:08.374103,178,neutral,0.89,distilbert,neutral,positive
179,179,179,4,Great product and excellent quality,2026-02-28 07:35:08.374140,179,neutral,0.79,distilbert,neutral,positive
180,180,180,3,Good value for money,2026-06-19 07:35:08.374175,180,negative,0.8,distilbert,negative,neutral
181,181,181,5,Fantastic support and fast shipping,2026-06-05 07:35:08.374217,181,neutral,0.68,roberta-base,neutral,positive
182,182,182,3,Delivery was late,2026-04-06 07:35:08.374252,182,positive,0.76,roberta-base,positive,neutral
183,183,183,1,Delivery was late,2026-02-08 07:35:08.374286,183,positive,0.96,distilbert,positive,negative
184,184,184,2,Good value for money,2026-02-18 07:35:08.374320,184,negative,0.71,bert-base,negative,negative
185,185,185,5,Great product and excellent quality,2026-06-14 07:35:08.374355,185,neutral,0.66,roberta-base,neutral,positive
186,186,186,3,Delivery was late,2026-04-05 07:35:08.374388,186,negative,0.58,distilbert,negative,neutral
187,187,187,2,Delivery was late,2026-03-23 07:35:08.374424,187,neutral,0.7,bert-base,neutral,negative
188,188,188,4,Delivery was late,2026-02-23 07:35:08.374459,188,positive,0.92,bert-base,positive,positive
189,189,189,1,Good value for money,2026-03-09 07:35:08.374493,189,positive,0.89,bert-base,positive,negative
190,190,190,1,"Average product, could be better",2026-03-07 07:35:08.374528,190,positive,0.63,distilbert,positive,negative
191,191,191,4,Great product and excellent quality,2026-05-25 07:35:08.374566,191,neutral,0.92,bert-base,neutral,positive
192,192,192,2,"Average product, could be better",2026-06-09 07:35:08.374601,192,positive,0.89,distilbert,positive,negative
193,193,193,5,Delivery was late,2026-02-08 07:35:08.374637,193,positive,0.57,roberta-base,positive,positive
194,194,194,4,Very satisfied with the experience,2026-06-25 07:35:08.374743,194,negative,0.81,distilbert,negative,positive
195,195,195,3,Very satisfied with the experience,2026-03-05 07:35:08.374778,195,positive,0.93,distilbert,positive,neutral
196,196,196,4,Good value for money,2026-05-24 07:35:08.374813,196,neutral,0.91,roberta-base,neutral,positive
197,197,197,4,Good value for money,2026-04-06 07:35:08.374848,197,positive,0.99,roberta-base,positive,positive
198,198,198,2,Fantastic support and fast shipping,2026-07-18 07:35:08.374882,198,neutral,0.81,distilbert,neutral,negative
199,199,199,5,Good value for money,2026-02-07 07:35:08.374916,199,neutral,0.5,distilbert,neutral,positive
200,200,200,3,Delivery was late,2026-05-16 07:35:08.374951,200,positive,0.69,bert-base,positive,neutral
201,201,201,4,"Average product, could be better",2026-06-06 07:35:08.374987,201,positive,0.94,bert-base,positive,positive
202,202,202,2,Great product and excellent quality,2026-03-12 07:35:08.375026,202,negative,0.79,distilbert,negative,negative
203,203,203,1,Fantastic support and fast shipping,2026-05-31 07:35:08.375063,203,neutral,0.69,bert-base,neutral,negative
204,204,204,3,Very satisfied with the experience,2026-03-14 07:35:08.375098,204,negative,0.58,roberta-base,negative,neutral
205,205,205,5,Fantastic support and fast shipping,2026-04-16 07:35:08.375134,205,neutral,0.84,bert-base,neutral,positive
206,206,206,1,"Average product, could be better",2026-05-13 07:35:08.375169,206,negative,0.71,bert-base,negative,negative
207,207,207,2,Fantastic support and fast shipping,2026-07-01 07:35:08.375203,207,positive,0.85,distilbert,positive,negative
208,208,208,4,Delivery was late,2026-05-23 07:35:08.375238,208,negative,0.53,distilbert,negative,positive
209,209,209,1,Delivery was late,2026-03-07 07:35:08.375275,209,negative,0.85,bert-base,negative,negative
210,210,210,4,Fantastic support and fast shipping,2026-06-04 07:35:08.375309,210,neutral,0.62,distilbert,neutral,positive
211,211,211,4,Great product and excellent quality,2026-07-14 07:35:08.375344,211,neutral,0.92,roberta-base,neutral,positive
212,212,212,3,Very satisfied with the experience,2026-03-02 07:35:08.375382,212,neutral,0.99,bert-base,neutral,neutral
213,213,213,4,Great product and excellent quality,2026-05-14 07:35:08.375423,213,positive,0.6,bert-base,positive,positive
214,214,214,3,Very satisfied with the experience,2026-04-05 07:35:08.375461,214,negative,0.54,bert-base,negative,neutral
215,215,215,4,Delivery was late,2026-02-02 07:35:08.375502,215,negative,0.66,roberta-base,negative,positive
216,216,216,4,Good value for money,2026-04-03 07:35:08.375536,216,neutral,0.7,distilbert,neutral,positive
217,217,217,5,Fantastic support and fast shipping,2026-07-21 07:35:08.375574,217,positive,0.91,roberta-base,positive,positive
218,218,218,1,Good value for money,2026-04-19 07:35:08.375609,218,neutral,0.77,distilbert,neutral,negative
219,219,219,3,Very satisfied with the experience,2026-02-06 07:35:08.375643,219,negative,0.96,bert-base,negative,neutral
220,220,220,1,Great product and excellent quality,2026-04-04 07:35:08.375678,220,positive,0.58,distilbert,positive,negative
221,221,221,2,Very satisfied with the experience,2026-07-23 07:35:08.375712,221,negative,0.8,bert-base,negative,negative
222,222,222,5,Good value for money,2026-05-29 07:35:08.375745,222,negative,0.99,distilbert,negative,positive
223,223,223,2,Delivery was late,2026-07-25 07:35:08.375780,223,neutral,0.79,bert-base,neutral,negative
224,224,224,1,"Average product, could be better",2026-06-05 07:35:08.375814,224,negative,0.91,roberta-base,negative,negative
225,225,225,3,Fantastic support and fast shipping,2026-03-08 07:35:08.375851,225,negative,0.57,bert-base,negative,neutral
226,226,226,4,"Average product, could be better",2026-07-31 07:35:08.375886,226,neutral,0.95,bert-base,neutral,positive
227,227,227,3,"Average product, could be better",2026-07-13 07:35:08.375923,227,neutral,0.85,distilbert,neutral,neutral
228,228,228,2,Delivery was late,2026-03-10 07:35:08.375958,228,negative,0.94,distilbert,negative,negative
229,229,229,1,Good value for money,2026-02-02 07:35:08.375994,229,negative,0.69,distilbert,negative,negative
230,230,230,1,Fantastic support and fast shipping,2026-06-01 07:35:08.376030,230,neutral,0.98,bert-base,neutral,negative
231,231,231,1,Fantastic support and fast shipping,2026-07-19 07:35:08.376065,231,neutral,0.71,roberta-base,neutral,negative
232,232,232,2,Fantastic support and fast shipping,2026-06-20 07:35:08.376099,232,neutral,0.54,bert-base,neutral,negative
233,233,233,5,Great product and excellent quality,2026-07-08 07:35:08.376137,233,neutral,0.79,distilbert,neutral,positive
234,234,234,2,Delivery was late,2026-06-13 07:35:08.376176,234,neutral,0.84,distilbert,neutral,negative
235,235,235,1,Delivery was late,2026-04-13 07:35:08.376211,235,positive,0.64,distilbert,positive,negative
236,236,236,4,Very satisfied with the experience,2026-03-28 07:35:08.376246,236,negative,0.63,distilbert,negative,positive
237,237,237,2,Delivery was late,2026-05-24 07:35:08.376281,237,negative,0.53,distilbert,negative,negative
238,238,238,5,Very satisfied with the experience,2026-04-15 07:35:08.376315,238,negative,0.84,roberta-base,negative,positive
239,239,239,4,Great product and excellent quality,2026-06-17 07:35:08.376352,239,positive,0.98,bert-base,positive,positive
240,240,240,1,Delivery was late,2026-07-09 07:35:08.376387,240,neutral,0.77,distilbert,neutral,negative
241,241,241,4,Great product and excellent quality,2026-06-23 07:35:08.376490,241,positive,0.78,distilbert,positive,positive
242,242,242,4,Fantastic support and fast shipping,2026-03-07 07:35:08.376525,242,negative,0.73,bert-base,negative,positive
243,243,243,4,Fantastic support and fast shipping,2026-05-24 07:35:08.376561,243,neutral,0.51,roberta-base,neutral,positive
244,244,244,3,Very satisfied with the experience,2026-05-24 07:35:08.376596,244,negative,0.7,distilbert,negative,neutral
245,245,245,1,Good value for money,2026-05-13 07:35:08.376630,245,negative,0.75,bert-base,negative,negative
246,246,246,2,Delivery was late,2026-05-22 07:35:08.376666,246,neutral,0.9,distilbert,neutral,negative
247,247,247,3,"Average product, could be better",2026-05-04 07:35:08.376703,247,positive,0.91,roberta-base,positive,neutral
248,248,248,3,Good value for money,2026-02-15 07:35:08.376738,248,neutral,0.75,distilbert,neutral,neutral
249,249,249,3,Very satisfied with the experience,2026-04-05 07:35:08.376773,249,neutral,0.61,roberta-base,neutral,neutral
250,250,250,1,Fantastic support and fast shipping,2026-03-30 07:35:08.376807,250,positive,0.66,roberta-base,positive,negative
251,251,251,3,Very satisfied with the experience,2026-02-07 07:35:08.376845,251,positive,0.85,distilbert,positive,neutral
252,252,252,2,Delivery was late,2026-02-06 07:35:08.376880,252,negative,0.81,roberta-base,negative,negative
253,253,253,2,"Average product, could be better",2026-02-07 07:35:08.376916,253,neutral,0.82,bert-base,neutral,negative
