sentiment_id,feedback_id,sentiment,confidence,model_name
75,75,neutral,0.56,bert-base
76,76,negative,0.86,bert-base
77,77,negative,0.68,distilbert
78,78,positive,0.89,bert-base
79,79,positive,0.76,bert-base
80,80,positive,0.87,roberta-base
81,81,neutral,0.92,roberta-base
82,82,negative,0.79,distilbert
83,83,neutral,0.72,bert-base
84,84,positive,0.91,bert-base
85,85,neutral,0.93,roberta-base
86,86,neutral,0.56,roberta-base
87,87,neutral,0.95,roberta-base
88,88,neutral,0.71,roberta-base
89,89,neutral,0.82,roberta-base
90,90,positive,0.69,distilbert
91,91,positive,0.56,distilbert
92,92,negative,0.71,roberta-base
93,93,neutral,0.79,distilbert
94,94,positive,0.94,roberta-base
95,95,negative,0.87,roberta-base
96,96,neutral,0.73,bert-base
97,97,negative,0.82,roberta-base
98,98,negative,0.71,roberta-base
99,99,neutral,0.55,distilbert
100,100,negative,0.85,bert-base
101,101,neutral,0.51,roberta-base
102,102,negative,0.93,bert-base
103,103,neutral,0.83,bert-base
104,104,neutral,0.88,roberta-base
105,105,positive,0.64,bert-base
106,106,negative,0.68,roberta-base
107,107,negative,0.91,distilbert
108,108,positive,0.88,bert-base
109,109,positive,0.85,roberta-base
110,110,negative,0.89,distilbert
111,111,negative,0.55,distilbert
112,112,positive,0.85,roberta-base
113,113,positive,0.87,bert-base
114,114,positive,0.74,roberta-base
115,115,neutral,0.82,roberta-base
116,116,negative,0.81,roberta-base
117,117,negative,0.58,roberta-base
118,118,neutral,0.75,distilbert
119,119,neutral,0.58,distilbert
120,120,negative,0.85,distilbert
121,121,neutral,0.89,distilbert
122,122,positive,0.98,distilbert
123,123,positive,0.91,distilbert
124,124,positive,0.81,distilbert
125,125,positive,0.96,distilbert
126,126,negative,0.7,roberta-base
127,127,neutral,0.56,roberta-base
128,128,positive,0.97,bert-base
129,129,neutral,0.75,bert-base
130,130,neutral,0.57,roberta-base
131,131,neutral,0.87,roberta-base
132,132,positive,0.52,bert-base
133,133,neutral,0.75,distilbert
134,134,neutral,0.63,distilbert
135,135,positive,0.72,roberta-base
136,136,negative,0.73,roberta-base
137,137,neutral,0.77,bert-base
138,138,negative,0.69,roberta-base
139,139,negative,0.63,distilbert
140,140,neutral,0.66,roberta-base
141,141,positive,0.94,bert-base
142,142,negative,0.97,roberta-base
143,143,positive,0.92,roberta-base
144,144,negative,0.87,bert-base
145,145,neutral,0.62,roberta-base
146,146,neutral,0.58,distilbert
147,147,neutral,0.7,distilbert
148,148,negative,0.55,distilbert
149,149,negative,0.72,bert-base
150,150,negative,0.54,roberta-base
151,151,negative,0.82,roberta-base
152,152,positive,0.99,roberta-base
153,153,neutral,0.67,roberta-base
154,154,neutral,0.79,distilbert
155,155,neutral,0.78,distilbert
156,156,negative,0.71,roberta-base
157,157,positive,0.92,roberta-base
158,158,positive,0.95,roberta-base
159,159,negative,0.83,bert-base
160,160,neutral,0.95,distilbert
161,161,positive,0.68,roberta-base
162,162,positive,0.69,bert-base
163,163,positive,0.85,roberta-base
164,164,positive,0.53,bert-base
165,165,negative,0.77,bert-base
166,166,positive,0.62,distilbert
167,167,negative,0.91,bert-base
168,168,neutral,0.78,bert-base
169,169,neutral,0.51,bert-base
170,170,negative,0.54,distilbert
171,171,neutral,0.61,distilbert
172,172,positive,0.69,distilbert
173,173,positive,0.71,distilbert
174,174,negative,0.94,bert-base
175,175,neutral,0.88,roberta-base
176,176,neutral,0.72,roberta-base
177,177,positive,0.66,roberta-base
178,178,neutral,0.89,distilbert
179,179,neutral,0.79,distilbert
180,180,negative,0.8,distilbert
181,181,neutral,0.68,roberta-base
182,182,positive,0.76,roberta-base
183,183,positive,0.96,distilbert
184,184,negative,0.71,bert-base
185,185,neutral,0.66,roberta-base
186,186,negative,0.58,distilbert
187,187,neutral,0.7,bert-base
188,188,positive,0.92,bert-base
189,189,positive,0.89,bert-base
190,190,positive,0.63,distilbert
191,191,neutral,0.92,bert-base
192,192,positive,0.89,distilbert
193,193,positive,0.57,roberta-base
194,194,negative,0.81,distilbert
195,195,positive,0.93,distilbert
196,196,neutral,0.91,roberta-base
197,197,positive,0.99,roberta-base
198,198,neutral,0.81,distilbert
199,199,neutral,0.5,distilbert
200,200,positive,0.69,bert-base
201,201,positive,0.94,bert-base
202,202,negative,0.79,distilbert
203,203,neutral,0.69,bert-base
204,204,negative,0.58,roberta-base
205,205,neutral,0.84,bert-base
206,206,negative,0.71,bert-base
207,207,positive,0.85,distilbert
208,208,negative,0.53,distilbert
209,209,negative,0.85,bert-base
210,210,neutral,0.62,distilbert
211,211,neutral,0.92,roberta-base
212,212,neutral,0.99,bert-base
213,213,positive,0.6,bert-base
214,214,negative,0.54,bert-base
215,215,negative,0.66,roberta-base
216,216,neutral,0.7,distilbert
217,217,positive,0.91,roberta-base
218,218,neutral,0.77,distilbert
219,219,negative,0.96,bert-base
220,220,positive,0.58,distilbert
221,221,negative,0.8,bert-base
222,222,negative,0.99,distilbert
223,223,neutral,0.79,bert-base
224,224,negative,0.91,roberta-base
225,225,negative,0.57,bert-base
226,226,neutral,0.95,bert-base
227,227,neutral,0.85,distilbert
228,228,negative,0.94,distilbert
229,229,negative,0.69,distilbert
230,230,neutral,0.98,bert-base
231,231,neutral,0.71,roberta-base
232,232,neutral,0.54,bert-base
233,233,neutral,0.79,distilbert
234,234,neutral,0.84,distilbert
235,235,positive,0.64,distilbert
236,236,negative,0.63,distilbert
237,237,negative,0.53,distilbert
238,238,negative,0.84,roberta-base
239,239,positive,0.98,bert-base
240,240,neutral,0.77,distilbert
241,241,positive,0.78,distilbert
242,242,negative,0.73,bert-base
243,243,neutral,0.51,roberta-base
244,244,negative,0.7,distilbert
245,245,negative,0.75,bert-base
246,246,neutral,0.9,distilbert
247,247,positive,0.91,roberta-base
248,248,neutral,0.75,distilbert
249,249,neutral,0.61,roberta-base
250,250,positive,0.66,roberta-base
251,251,positive,0.85,distilbert
252,252,negative,0.81,roberta-base
253,253,neutral,0.82,bert-base
254,254,neutral,0.53,distilbert
255,255,negative,0.94,roberta-base
256,256,neutral,0.6,bert-base
257,257,positive,0.86,bert-base
258,258,negative,0.79,bert-base
259,259,neutral,0.68,bert-base
260,260,positive,0.68,distilbert
261,261,neutral,0.56,roberta-base
262,262,positive,0.71,bert-base
263,263,positive,0.52,roberta-base
264,264,negative,0.85,roberta-base
265,265,negative,0.56,bert-base
266,266,positive,0.56,roberta-base
267,267,positive,0.7,distilbert
268,268,neutral,0.52,roberta-base
269,269,neutral,0.82,bert-base
270,270,neutral,0.92,bert-base
271,271,neutral,0.89,roberta-base
272,272,positive,0.9,distilbert
273,273,negative,0.73,distilbert
274,274,positive,0.52,bert-base
275,275,positive,0.85,bert-base
276,276,negative,0.86,distilbert
277,277,neutral,0.75,roberta-base
278,278,negative,0.93,distilbert
279,279,negative,0.84,roberta-base
280,280,neutral,0.57,distilbert
281,281,negative,0.52,roberta-base
282,282,negative,0.52,roberta-base
283,283,negative,0.86,bert-base
284,284,negative,0.63,bert-base
285,285,negative,0.77,bert-base
286,286,positive,0.93,distilbert
287,287,negative,0.8,distilbert
288,288,negative,0.9,roberta-base
289,289,positive,0.6,distilbert
290,290,positive,0.54,bert-base
291,291,positive,0.69,bert-base
292,292,positive,0.64,roberta-base
293,293,negative,0.93,distilbert
294,294,neutral,0.6,distilbert
295,295,negative,0.92,distilbert
296,296,negative,0.61,roberta-base
297,297,neutral,0.97,bert-base
298,298,neutral,0.74,bert-base
299,299,negative,0.52,distilbert
300,300,negative,0.92,bert-base
301,301,neutral,0.58,distilbert
302,302,neutral,0.69,roberta-base
303,303,neutral,0.68,distilbert
304,304,positive,0.72,bert-base
305,305,negative,0.56,distilbert
306,306,negative,0.52,distilbert
307,307,positive,0.72,roberta-base
308,308,negative,0.79,bert-base
309,309,neutral,0.94,distilbert
310,310,neutral,0.68,bert-base
311,311,neutral,0.88,bert-base
312,312,neutral,0.82,distilbert
313,313,neutral,0.99,roberta-base
314,314,negative,0.7,bert-base
315,315,neutral,0.97,bert-base
316,316,neutral,0.8,distilbert
317,317,positive,0.88,distilbert
318,318,neutral,0.7,bert-base
319,319,positive,0.63,roberta-base
320,320,negative,0.74,bert-base
321,321,neutral,0.97,distilbert
322,322,positive,0.94,roberta-base
323,323,positive,0.88,bert-base
324,324,positive,0.98,distilbert
325,325,negative,0.88,roberta-base
326,326,neutral,0.59,roberta-base
327,327,neutral,0.64,bert-base
328,328,neutral,0.89,bert-base
329,329,negative,0.58,bert-base
330,330,positive,0.67,distilbert
331,331,positive,0.69,roberta-base
332,332,positive,0.65,distilbert
333,333,positive,0.56,bert-base
334,334,positive,0.63,bert-base
335,335,neutral,0.92,roberta-base
336,336,negative,0.81,distilbert
337,337,neutral,0.63,roberta-base
338,338,positive,0.88,roberta-base
339,339,positive,0.63,roberta-base
340,340,positive,0.64,distilbert
341,341,neutral,0.63,distilbert
342,342,positive,0.66,bert-base
343,343,neutral,0.62,bert-base
344,344,negative,0.56,roberta-base
345,345,negative,0.56,bert-base
346,346,negative,0.8,distilbert
347,347,positive,0.84,roberta-base
348,348,neutral,0.66,roberta-base
349,349,negative,0.59,bert-base
350,350,positive,0.8,roberta-base
351,351,positive,0.52,distilbert
352,352,neutral,0.89,bert-base
353,353,neutral,0.54,bert-base
354,354,negative,0.77,distilbert
355,355,positive,0.76,distilbert
356,356,negative,0.77,roberta-base
357,357,positive,0.65,bert-base
358,358,neutral,0.67,bert-base
359,359,neutral,0.58,distilbert
360,360,negative,0.82,distilbert
361,361,positive,0.83,roberta-base
362,362,negative,0.52,roberta-base
363,363,negative,0.8,distilbert
364,364,neutral,0.59,roberta-base
365,365,negative,0.92,bert-base
366,366,positive,0.86,bert-base
367,367,neutral,0.58,roberta-base
368,368,neutral,0.61,roberta-base
369,369,negative,0.65,roberta-base
370,370,positive,0.96,roberta-base
371,371,positive,0.78,roberta-base
372,372,negative,0.85,distilbert
373,373,neutral,0.93,roberta-base
374,374,neutral,0.8,distilbert
375,375,neutral,0.59,roberta-base
376,376,positive,0.59,roberta-base
377,377,negative,0.78,distilbert
378,378,neutral,0.75,distilbert
379,379,negative,0.75,bert-base
380,380,neutral,0.51,roberta-base
381,381,negative,0.85,distilbert
382,382,neutral,0.65,distilbert
383,383,negative,0.9,distilbert
384,384,neutral,0.8,distilbert
385,385,positive,0.55,bert-base
386,386,neutral,0.94,bert-base
387,387,positive,0.8,bert-base
388,388,negative,0.78,distilbert
389,389,negative,0.99,roberta-base
390,390,negative,0.77,bert-base
391,391,negative,0.57,bert-base
392,392,negative,0.51,distilbert
393,393,positive,0.79,roberta-base
394,394,positive,0.68,bert-base
395,395,neutral,0.57,bert-base
396,396,neutral,0.73,bert-base
397,397,neutral,0.76,roberta-base
398,398,negative,0.66,bert-base
399,399,negative,0.52,roberta-base
400,400,neutral,0.78,bert-base
401,401,negative,0.95,roberta-base
402,402,positive,0.75,roberta-base
403,403,positive,0.98,roberta-base
404,404,negative,0.83,distilbert
405,405,negative,0.9,roberta-base
406,406,negative,0.64,distilbert
407,407,positive,0.8,distilbert
408,408,negative,0.79,distilbert
409,409,positive,0.64,distilbert
410,410,neutral,0.92,distilbert
411,411,positive,0.78,distilbert
412,412,neutral,0.97,bert-base
413,413,negative,0.76,distilbert
414,414,neutral,0.64,bert-base
415,415,neutral,0.54,distilbert
416,416,negative,0.72,bert-base
417,417,positive,0.82,distilbert
418,418,neutral,0.73,distilbert
419,419,neutral,0.97,distilbert
420,420,negative,0.79,roberta-base
421,421,negative,0.55,roberta-base
422,422,negative,0.56,bert-base
423,423,neutral,0.95,roberta-base
424,424,positive,0.72,roberta-base
425,425,negative,0.63,bert-base
426,426,positive,0.84,roberta-base
427,427,neutral,0.56,distilbert
428,428,neutral,0.82,bert-base
429,429,positive,0.52,bert-base
430,430,neutral,0.56,distilbert
431,431,positive,0.62,distilbert
432,432,positive,0.74,distilbert
433,433,negative,0.58,bert-base
434,434,positive,0.89,distilbert
435,435,positive,0.6,distilbert
436,436,negative,0.9,roberta-base
437,437,neutral,0.88,distilbert
438,438,negative,0.68,bert-base
439,439,negative,0.56,bert-base
440,440,negative,0.7,bert-base
441,441,neutral,0.57,distilbert
442,442,neutral,0.58,roberta-base
443,443,negative,0.73,roberta-base
444,444,neutral,0.98,bert-base
445,445,positive,0.84,roberta-base
446,446,positive,0.98,roberta-base
447,447,neutral,0.76,roberta-base
448,448,neutral,0.94,bert-base
449,449,neutral,0.62,bert-base
450,450,neutral,0.72,distilbert
451,451,neutral,0.94,roberta-base
452,452,neutral,0.67,roberta-base
453,453,negative,0.89,roberta-base
454,454,neutral,0.64,bert-base
455,455,neutral,0.78,roberta-base
456,456,neutral,0.56,bert-base
457,457,neutral,0.98,distilbert
458,458,neutral,0.51,distilbert
459,459,positive,0.76,roberta-base
460,460,neutral,0.68,roberta-base
461,461,positive,0.91,distilbert
462,462,positive,0.77,distilbert
463,463,positive,0.51,bert-base
464,464,positive,0.87,roberta-base
465,465,negative,0.78,roberta-base
466,466,negative,0.95,roberta-base
467,467,neutral,0.91,distilbert
468,468,neutral,0.88,roberta-base
469,469,positive,0.7,bert-base
470,470,positive,0.86,bert-base
471,471,positive,0.88,roberta-base
472,472,positive,0.95,bert-base
473,473,negative,0.8,distilbert
474,474,negative,0.92,roberta-base
475,475,positive,0.87,roberta-base
476,476,neutral,0.56,roberta-base
477,477,neutral,0.59,distilbert
478,478,neutral,0.98,roberta-base
479,479,neutral,0.83,roberta-base
480,480,positive,0.86,bert-base
481,481,neutral,0.6,distilbert
482,482,neutral,0.65,roberta-base
483,483,positive,0.78,roberta-base
484,484,neutral,0.53,distilbert
485,485,neutral,0.67,distilbert
486,486,neutral,0.52,distilbert
487,487,neutral,0.78,roberta-base
488,488,positive,0.64,bert-base
489,489,negative,0.73,bert-base
490,490,negative,0.72,distilbert
491,491,neutral,0.96,distilbert
492,492,negative,0.6,roberta-base
493,493,neutral,0.77,roberta-base
494,494,positive,0.53,bert-base
495,495,positive,0.78,distilbert
496,496,negative,0.69,distilbert
497,497,negative,0.68,bert-base
498,498,negative,0.97,distilbert
499,499,neutral,0.69,roberta-base
500,500,positive,0.9,roberta-base
501,501,negative,0.9,distilbert
502,502,positive,0.81,roberta-base
503,503,positive,0.84,roberta-base
504,504,negative,0.81,bert-base
505,505,positive,0.96,bert-base
506,506,neutral,0.87,roberta-base
507,507,neutral,0.62,roberta-base
508,508,negative,0.71,distilbert
509,509,positive,0.62,distilbert
510,510,neutral,0.96,roberta-base
511,511,neutral,0.64,roberta-base
512,512,positive,0.57,bert-base
513,513,neutral,0.74,distilbert
514,514,negative,0.99,bert-base
515,515,neutral,0.79,bert-base
516,516,neutral,0.96,distilbert
517,517,neutral,0.59,roberta-base
518,518,negative,0.8,roberta-base
519,519,neutral,0.8,roberta-base
520,520,neutral,0.73,bert-base
521,521,positive,0.75,distilbert
522,522,positive,0.91,bert-base
523,523,positive,0.87,distilbert
524,524,negative,0.79,roberta-base
525,525,negative,0.98,bert-base
526,526,neutral,0.71,bert-base
527,527,positive,0.66,bert-base
528,528,neutral,0.61,bert-base
529,529,neutral,0.72,roberta-base
530,530,negative,0.82,bert-base
531,531,neutral,0.56,bert-base
532,532,neutral,0.93,roberta-base
533,533,neutral,0.99,roberta-base
534,534,negative,0.52,bert-base
535,535,negative,0.68,bert-base
536,536,neutral,0.85,roberta-base
537,537,neutral,0.96,roberta-base
538,538,negative,0.95,bert-base
539,539,negative,0.7,distilbert
540,540,neutral,0.69,distilbert
541,541,negative,0.79,bert-base
542,542,positive,0.72,distilbert
543,543,negative,0.62,roberta-base
544,544,neutral,0.54,distilbert
545,545,positive,0.57,bert-base
546,546,positive,0.79,roberta-base
547,547,positive,0.89,bert-base
548,548,positive,0.7,distilbert
549,549,negative,0.72,distilbert
550,550,negative,0.54,bert-base
551,551,negative,0.87,distilbert
552,552,neutral,0.54,distilbert
553,553,positive,0.56,bert-base
554,554,positive,0.85,roberta-base
555,555,neutral,0.75,distilbert
556,556,neutral,0.77,distilbert
557,557,neutral,0.76,bert-base
558,558,neutral,0.63,roberta-base
559,559,negative,0.56,bert-base
560,560,negative,0.98,roberta-base
561,561,negative,0.94,distilbert
562,562,neutral,0.59,distilbert
563,563,positive,0.9,distilbert
564,564,neutral,0.55,roberta-base
565,565,negative,0.88,bert-base
566,566,positive,0.83,roberta-base
567,567,neutral,0.54,distilbert
568,568,neutral,0.71,bert-base
569,569,neutral,0.87,distilbert
570,570,neutral,0.8,roberta-base
571,571,negative,0.81,roberta-base
572,572,positive,0.55,distilbert
573,573,positive,0.62,bert-base
574,574,neutral,0.68,bert-base
575,575,neutral,0.84,roberta-base
576,576,negative,0.61,bert-base
577,577,positive,0.68,distilbert
578,578,negative,0.59,distilbert
579,579,positive,0.65,bert-base
580,580,neutral,0.84,roberta-base
581,581,negative,0.97,roberta-base
582,582,positive,0.66,roberta-base
583,583,positive,0.69,roberta-base
584,584,positive,0.79,roberta-base
585,585,positive,0.63,bert-base
586,586,positive,0.66,distilbert
587,587,neutral,0.88,roberta-base
588,588,negative,0.87,distilbert
589,589,neutral,0.57,bert-base
590,590,negative,0.51,bert-base
591,591,positive,0.66,roberta-base
592,592,neutral,0.64,bert-base
593,593,negative,0.71,distilbert
594,594,negative,0.6,distilbert
595,595,neutral,0.73,bert-base
596,596,positive,0.94,distilbert
597,597,negative,0.64,bert-base
598,598,neutral,0.6,bert-base
599,599,positive,0.85,bert-base
600,600,positive,0.8,bert-base
601,601,positive,0.85,distilbert
602,602,positive,0.96,roberta-base
603,603,positive,0.7,bert-base
604,604,neutral,0.59,roberta-base
605,605,neutral,0.65,distilbert
606,606,negative,0.57,bert-base
607,607,positive,0.8,bert-base
608,608,neutral,0.6,bert-base
609,609,positive,0.91,roberta-base
610,610,neutral,0.81,bert-base
611,611,negative,0.54,distilbert
612,612,positive,0.63,roberta-base
613,613,neutral,0.92,roberta-base
614,614,neutral,0.57,roberta-base
615,615,negative,0.53,bert-base
616,616,positive,0.82,roberta-base
617,617,positive,0.62,distilbert
618,618,neutral,0.84,distilbert
619,619,negative,0.65,bert-base
620,620,negative,0.57,roberta-base
621,621,negative,0.55,distilbert
622,622,positive,0.5,roberta-base
623,623,neutral,0.68,roberta-base
624,624,positive,0.79,distilbert
625,625,neutral,0.93,distilbert
626,626,neutral,0.8,distilbert
627,627,neutral,0.82,bert-base
628,628,negative,0.63,roberta-base
629,629,neutral,0.68,distilbert
630,630,negative,0.96,distilbert
631,631,negative,0.96,bert-base
632,632,neutral,0.57,distilbert
633,633,negative,0.97,bert-base
634,634,positive,0.99,distilbert
635,635,positive,0.84,distilbert
636,636,neutral,0.84,roberta-base
637,637,neutral,0.83,bert-base
638,638,negative,0.7,bert-base
639,639,negative,0.82,roberta-base
640,640,neutral,0.84,bert-base
641,641,neutral,0.9,bert-base
642,642,negative,0.84,bert-base
643,643,neutral,0.68,distilbert
644,644,negative,0.65,roberta-base
645,645,negative,0.68,bert-base
646,646,positive,0.76,bert-base
647,647,positive,0.63,distilbert
648,648,neutral,0.98,bert-base
649,649,negative,0.63,bert-base
650,650,negative,0.56,bert-base
651,651,negative,0.72,roberta-base
652,652,neutral,0.91,distilbert
653,653,negative,0.75,distilbert
654,654,positive,0.99,distilbert
655,655,neutral,0.58,bert-base
656,656,positive,0.95,distilbert
657,657,neutral,0.94,bert-base
658,658,positive,0.88,roberta-base
659,659,positive,0.67,roberta-base
660,660,negative,0.6,roberta-base
661,661,positive,0.97,bert-base
662,662,neutral,0.64,bert-base
663,663,negative,0.88,bert-base
664,664,positive,0.8,bert-base
665,665,positive,0.63,roberta-base
666,666,negative,0.55,bert-base
667,667,negative,0.88,distilbert
668,668,positive,0.59,roberta-base
669,669,negative,0.85,distilbert
670,670,negative,0.63,bert-base
671,671,negative,0.69,roberta-base
672,672,neutral,0.65,bert-base
673,673,neutral,0.93,bert-base
674,674,neutral,0.94,roberta-base
675,675,negative,0.87,roberta-base
676,676,positive,0.86,roberta-base
677,677,neutral,0.51,bert-base
678,678,positive,0.86,bert-base
679,679,negative,0.79,bert-base
680,680,positive,0.62,distilbert
681,681,positive,0.61,roberta-base
682,682,neutral,0.68,distilbert
683,683,positive,0.83,bert-base
684,684,positive,0.88,bert-base
685,685,neutral,0.99,bert-base
686,686,neutral,0.77,distilbert
687,687,positive,0.62,bert-base
688,688,negative,0.98,roberta-base
689,689,neutral,0.68,distilbert
690,690,neutral,0.57,bert-base
691,691,positive,0.58,distilbert
692,692,negative,0.65,bert-base
693,693,positive,0.9,distilbert
694,694,positive,0.55,roberta-base
695,695,positive,0.62,bert-base
696,696,neutral,0.87,distilbert
697,697,neutral,0.73,bert-base
698,698,negative,0.75,distilbert
699,699,positive,0.97,distilbert
700,700,positive,0.53,distilbert
701,701,neutral,0.52,roberta-base
702,702,neutral,0.63,distilbert
703,703,negative,0.7,bert-base
704,704,neutral,0.88,bert-base
705,705,positive,0.96,bert-base
706,706,negative,0.71,roberta-base
707,707,positive,0.55,roberta-base
708,708,negative,0.69,bert-base
709,709,neutral,0.56,distilbert
710,710,positive,0.87,bert-base
711,711,neutral,0.94,distilbert
712,712,neutral,0.71,bert-base
713,713,positive,0.8,roberta-base
714,714,positive,0.88,distilbert
715,715,neutral,0.63,distilbert
716,716,negative,0.79,roberta-base
717,717,neutral,0.98,bert-base
718,718,neutral,0.91,bert-base
719,719,negative,0.69,distilbert
720,720,neutral,0.82,roberta-base
721,721,positive,0.54,roberta-base
722,722,neutral,0.81,roberta-base
723,723,negative,0.79,bert-base
724,724,neutral,0.56,bert-base
725,725,neutral,0.73,roberta-base
726,726,positive,0.89,distilbert
727,727,neutral,0.68,distilbert
728,728,positive,0.9,roberta-base
729,729,positive,0.73,roberta-base
730,730,negative,0.71,roberta-base
731,731,neutral,0.79,bert-base
732,732,neutral,0.82,bert-base
733,733,positive,0.69,distilbert
734,734,positive,0.99,distilbert
735,735,neutral,0.54,roberta-base
736,736,neutral,0.83,distilbert
737,737,neutral,0.77,bert-base
738,738,neutral,0.6,distilbert
739,739,negative,0.6,roberta-base
740,740,positive,0.51,roberta-base
741,741,neutral,0.75,distilbert
742,742,negative,0.64,distilbert
743,743,positive,0.53,bert-base
744,744,neutral,0.81,distilbert
745,745,positive,0.66,roberta-base
746,746,neutral,0.79,roberta-base
747,747,positive,0.65,distilbert
748,748,negative,0.88,distilbert
749,749,negative,0.86,roberta-base
750,750,negative,0.67,roberta-base
751,751,neutral,0.89,distilbert
752,752,negative,0.58,roberta-base
753,753,neutral,0.82,bert-base
754,754,negative,0.6,distilbert
755,755,neutral,0.79,bert-base
756,756,negative,0.95,roberta-base
757,757,neutral,0.97,roberta-base
758,758,positive,0.8,distilbert
759,759,positive,0.66,bert-base
760,760,positive,0.75,distilbert
761,761,positive,0.5,distilbert
762,762,neutral,0.98,bert-base
763,763,negative,0.86,distilbert
764,764,neutral,0.9,bert-base
765,765,neutral,0.93,roberta-base
766,766,positive,0.67,distilbert
767,767,neutral,0.8,bert-base
768,768,positive,0.83,roberta-base
769,769,positive,0.52,distilbert
770,770,positive,0.6,roberta-base
771,771,positive,0.9,bert-base
772,772,neutral,0.75,roberta-base
773,773,neutral,0.61,distilbert
774,774,negative,0.78,distilbert
775,775,positive,0.66,bert-base
776,776,negative,0.91,bert-base
777,777,neutral,0.75,distilbert
778,778,negative,0.86,distilbert
779,779,neutral,0.67,roberta-base
780,780,positive,0.53,roberta-base
781,781,positive,0.54,distilbert
782,782,positive,0.76,roberta-base
783,783,negative,0.61,distilbert
784,784,neutral,0.91,roberta-base
785,785,positive,0.61,roberta-base
786,786,positive,0.67,distilbert
787,787,negative,0.78,distilbert
788,788,neutral,0.78,bert-base
789,789,positive,0.72,roberta-base
790,790,neutral,0.59,roberta-base
791,791,negative,0.75,roberta-base
792,792,negative,0.62,bert-base
793,793,neutral,0.93,bert-base
794,794,neutral,0.52,bert-base
795,795,negative,0.52,distilbert
796,796,negative,0.86,distilbert
797,797,positive,0.72,distilbert
798,798,positive,0.72,roberta-base
799,799,neutral,0.67,bert-base
800,800,neutral,0.63,distilbert
801,801,neutral,0.56,distilbert
802,802,neutral,0.81,distilbert
803,803,neutral,0.83,roberta-base
804,804,negative,0.94,distilbert
805,805,neutral,0.55,roberta-base
806,806,neutral,0.57,bert-base
807,807,negative,0.56,roberta-base
808,808,positive,0.97,bert-base
809,809,neutral,0.55,distilbert
810,810,negative,0.6,roberta-base
811,811,neutral,0.53,distilbert
812,812,negative,0.97,roberta-base
813,813,neutral,0.97,roberta-base
814,814,negative,0.7,bert-base
815,815,neutral,0.63,bert-base
816,816,positive,0.96,distilbert
817,817,positive,0.75,roberta-base
818,818,positive,0.52,bert-base
819,819,neutral,0.87,roberta-base
820,820,positive,0.55,distilbert
821,821,neutral,0.97,distilbert
822,822,positive,0.69,roberta-base
823,823,positive,0.81,roberta-base
824,824,neutral,0.76,distilbert
825,825,positive,0.63,bert-base
826,826,neutral,0.84,roberta-base
827,827,negative,0.74,distilbert
828,828,negative,0.82,bert-base
829,829,negative,0.85,roberta-base
830,830,neutral,0.66,bert-base
831,831,neutral,0.81,roberta-base
832,832,positive,0.56,distilbert
833,833,positive,0.54,distilbert
834,834,neutral,0.75,bert-base
